country_code,region,year,gdp_per_capita,population,bank_capital_assets_ratio,domestic_credit_private_gdp,exports_gdp,fdi_net_inflows_gdp,gdp_growth_annual,gdp_per_capita_constant,gdp_per_capita_growth,gdp_ppp_constant,government_debt_gdp,government_expenditure_gdp,gross_investment_gdp,gross_savings_gdp,imports_gdp,internet_users_pct,market_cap_gdp,patent_applications_residents,population_growth,private_investment_gdp,real_interest_rate,research_development_gdp,tariff_rate_applied_weighted,tax_revenue_gdp,tertiary_education_enrollment,trade_gdp,unemployment_total,urban_population_pct,country_name
CHN,East Asia,2018,15977.007798620576,1395397.96,7.37794222742463,,19.1121035364139,1.69389428446517,6.7497738324959,9619.20947510677,6.25170055571749,24534506282427.8,,,43.7934751722352,44.4857479859689,18.4536805657234,59.2,45.5194077189422,1393815.0,0.467672053461959,38.0581557511229,0.821501871986205,2.14057993888855,3.39,9.05268573156305,54.0076217651367,37.5657841021374,4.31,59.152,China
CHN,East Asia,2019,16879.53970153226,1400034.69,7.57138184829879,,18.4099923154801,1.31071593247948,5.95050075367413,10155.5108830542,5.57531686294317,25994432263673.9,,,43.2511056433479,43.7730279589906,17.4801037187624,64.1,60.0107216359496,1243568.0,0.354740890170827,38.3735103383586,3.02438482052273,2.2446300983429,2.53,8.49286376989869,57.2754402160645,35.8900960342425,4.56,60.308,China
CHN,East Asia,2020,17225.968276942745,1402060.16,7.54175994025084,,18.5861391981332,1.72317554862906,2.23863835634639,10358.1699971792,1.99555804192106,26576353594843.0,,,43.3666742339174,43.9264166508497,16.1681565014734,70.1,83.5851042469326,1344817.0,0.238040870229883,36.9659286077082,3.83860120447208,2.40666007995605,2.47,8.09062621607631,62.2367782592773,34.7542956996066,5.0,61.428,China
CHN,East Asia,2021,18666.604569482603,1402536.74,7.75345301609578,,19.9439738307083,1.93078622294539,8.44846941687277,11223.2553476968,8.35171995394172,28821648700423.3,,,43.1402990748017,45.4706846355198,17.3580170349289,73.1,81.0161272375064,1426644.0,0.0892522000412526,36.6315592306134,-0.193517050835666,2.4326000213623,2.31,7.96512804614377,67.3876190185547,37.3019908656372,4.55,62.512,China
CHN,East Asia,2022,19238.17878269338,1401692.8,7.47593882444129,,20.7914830663638,1.06367352996528,2.95066992959268,11555.9302384568,2.96415683733213,29672080421839.5,,,43.1462525159503,45.8138246111187,17.5599990173084,75.6,64.1398360156234,,-0.0130995013525784,36.6337340690312,2.48107607622312,2.55518007278442,2.18,7.70087321650666,71.9815521240234,38.3514820836722,4.98,63.56,China
CHN,,2023,,,,,19.7430723247274,0.240113517047499,5.24955786387791,12175.1961147248,5.35885786336085,31229733453000.4,,,42.0789515576359,43.6071866130656,17.573699039207,77.5,,,-0.103794531589067,,4.96128802760332,,,7.84236823527058,74.823600769043,37.3167713639344,4.67,64.57,China
COL,Latin America,1990,7693.0,32957.0,,,18.8626690286416,1.04506114042541,4.28199833053058,3714.1849928328,2.14817587559615,324362108923.578,,,20.606730546634,20.8809990215218,15.9151413516665,0.0,,,2.06742882129527,,-5.09823082650433,,,,14.7004499435425,34.7778103803081,,69.481,Colombia
COL,Latin America,1991,7713.022025638145,33633.47,,,19.0945389024404,0.920464272732109,2.00160759559029,3713.17727535576,-0.0271315908869099,330854565533.009,,,19.1054638472664,22.9369713977813,14.4353791922749,,,85.0,2.00897406347511,,15.2865727569669,,6.45,,15.398980140686,33.5299180947153,10.12,69.949,Colombia
COL,Latin America,1992,7888.105490293178,34300.11,,,16.5185546953654,1.24789270665478,4.04492943933556,3787.5942918216,2.00413314386418,344237399255.639,,,20.5545014602291,19.0853387553686,17.093036648287,,,120.0,1.98094862084333,,11.4580593676427,,10.55,,16.1204891204834,33.6115913436524,9.44,70.415,Colombia
COL,Latin America,1993,8180.870530143386,34962.7,,,15.1844952854784,1.44281755033375,5.38540993901029,3912.6590835796,3.30195850247352,362775994368.943,,,24.9421331103752,17.9026531820553,20.9929761594843,,,138.0,1.99678655879278,,8.35840500361886,,,,16.3813800811768,36.1774714449627,7.8,70.874,Colombia
